wrist_roll_L,wrist_roll_F,grip_L,grip_F,raw_L,raw_F
-11.3,-9.6,35.9,35.6,2502,1407
-11.6,-9.8,35.9,35.6,2502,1407
-12.0,-10.1,35.9,35.6,2502,1407
-12.4,-10.4,35.9,35.6,2502,1407
-12.6,-10.7,35.9,35.6,2502,1407
-12.8,-11.1,35.9,35.6,2502,1407
-13.0,-11.5,35.9,35.6,2502,1407
-13.1,-11.7,35.9,35.6,2502,1407
-13.2,-12.1,35.9,35.6,2502,1407
-13.2,-12.4,35.9,35.6,2502,1407
-13.2,-12.6,35.9,35.6,2502,1407
-13.2,-12.8,35.9,35.6,2502,1407
-13.2,-12.9,35.9,35.6,2502,1407
-13.2,-13.0,35.9,35.6,2502,1407
-13.2,-13.1,35.9,35.6,2502,1407
-13.2,-13.1,35.9,35.6,2502,1407
-13.2,-13.1,35.9,35.6,2502,1407
-13.2,-13.1,35.9,35.6,2502,1407
-13.2,-13.1,35.9,35.6,2502,1407
-13.2,-13.1,35.9,35.6,2502,1407
-13.3,-13.1,35.9,35.6,2502,1407
-13.3,-13.1,35.9,35.6,2502,1407
-13.4,-13.2,35.9,35.6,2502,1407
-13.6,-13.2,35.9,35.6,2502,1407
-13.7,-13.2,35.9,35.6,2502,1407
-14.0,-13.2,35.9,35.6,2502,1407
-14.3,-13.3,35.9,35.6,2502,1407
-14.7,-13.4,35.9,35.6,2502,1407
-15.1,-13.6,35.9,35.6,2502,1407
-15.4,-13.8,35.9,35.6,2502,1407
-15.7,-14.1,35.9,35.6,2502,1407
-15.9,-14.4,35.9,35.6,2502,1407
-16.0,-14.7,35.9,35.6,2502,1407
-16.2,-15.0,35.9,35.6,2502,1407
-16.4,-15.2,35.9,35.6,2502,1407
-16.5,-15.5,35.9,35.6,2502,1407
-16.7,-15.8,35.9,35.6,2502,1407
-16.9,-15.9,35.9,35.6,2502,1407
-17.1,-16.1,35.9,35.6,2502,1407
-17.5,-16.3,35.9,35.6,2502,1407
-17.8,-16.5,35.8,35.6,2503,1407
-18.2,-16.7,35.8,35.6,2503,1407
-18.7,-16.9,35.8,35.8,2503,1410
-19.5,-17.3,35.8,35.6,2503,1408
-20.0,-17.8,35.8,36.1,2503,1413
-20.6,-18.1,35.8,35.6,2503,1407
-21.3,-18.6,35.8,35.8,2503,1410
-22.0,-19.2,35.8,35.6,2503,1408
-22.6,-19.8,35.8,35.6,2503,1407
-23.3,-20.6,35.8,35.8,2504,1410
-24.1,-21.4,35.7,36.0,2504,1413
-24.8,-22.0,35.6,36.0,2507,1413
-25.3,-22.7,35.2,36.0,2513,1412
-25.8,-23.4,34.6,36.0,2525,1412
-26.3,-24.1,33.5,35.7,2540,1408
-26.6,-24.8,32.6,35.0,2555,1399
-26.7,-25.3,31.5,34.2,2571,1389
-26.8,-25.9,30.4,33.3,2587,1377
-26.8,-26.3,29.3,32.3,2604,1364
-26.8,-26.6,28.2,31.1,2621,1349
-26.8,-26.9,27.1,29.9,2640,1333
-26.8,-26.9,25.8,28.8,2660,1319
-26.8,-26.9,24.5,27.8,2680,1307
-26.8,-26.9,23.2,27.1,2700,1298
-26.8,-26.9,21.9,26.5,2718,1290
-26.8,-26.9,20.6,26.0,2739,1284
-26.8,-26.9,19.5,25.8,2757,1280
-26.8,-26.9,18.3,25.4,2775,1277
-26.8,-26.9,17.4,25.4,2789,1276
-26.8,-26.9,16.4,25.3,2805,1275
-26.8,-26.9,15.3,25.3,2820,1275
-26.8,-26.9,14.3,25.2,2837,1274
-26.8,-26.9,13.5,25.1,2849,1272
-26.7,-26.9,12.7,24.7,2861,1267
-26.7,-26.9,12.1,24.4,2870,1264
-26.7,-26.9,11.2,24.3,2885,1262
-26.7,-26.9,10.0,23.9,2905,1256
-26.7,-27.0,8.0,23.1,2936,1245
-26.7,-27.0,5.6,22.0,2970,1232
-26.7,-27.0,3.2,20.5,3011,1212
-26.7,-27.0,0.9,18.8,3048,1190
-26.7,-27.0,0.0,16.1,3081,1155
-26.7,-27.0,0.0,13.1,3088,1113
-26.7,-27.0,0.0,9.5,3088,1069
-26.7,-26.9,0.0,6.2,3088,1027
-26.7,-26.9,0.0,3.5,3087,994
-26.8,-26.8,0.0,2.1,3086,977
-26.8,-26.9,0.0,1.9,3083,975
-26.8,-26.9,0.0,1.9,3080,975
-26.8,-26.9,0.0,2.0,3069,976
-26.8,-26.9,0.0,2.0,3056,976
-26.8,-26.9,0.6,2.0,3044,976
-26.8,-26.9,1.3,2.0,3034,976
-26.8,-26.9,2.1,2.3,3022,979
-26.8,-26.9,2.8,2.5,3010,982
-26.8,-26.9,3.9,2.7,2995,986
-26.9,-26.9,4.7,3.2,2983,991
-26.9,-26.9,5.6,3.8,2969,1000
-26.9,-26.9,6.4,4.4,2956,1006
-27.0,-26.9,7.2,5.1,2943,1017
-27.0,-27.0,8.0,6.0,2931,1027
-27.0,-27.0,8.7,6.7,2920,1037
-27.1,-27.0,9.6,7.6,2907,1048
-27.1,-27.0,10.2,8.3,2897,1058
-27.1,-27.0,10.8,9.2,2886,1068
-27.1,-27.0,11.5,9.8,2878,1077
-27.0,-27.0,11.7,10.4,2875,1085
-26.9,-27.0,11.8,11.1,2872,1093
-26.7,-27.0,12.4,11.2,2863,1094
-26.7,-27.0,13.3,11.4,2850,1097
-26.7,-27.0,14.0,11.8,2839,1103
-26.7,-27.0,14.6,12.7,2831,1113
-26.7,-26.9,15.1,13.2,2822,1121
-26.7,-26.9,15.7,14.0,2813,1131
-26.7,-26.9,16.4,14.6,2802,1139
-26.7,-26.9,17.1,15.3,2791,1147
-26.7,-26.9,17.9,15.9,2779,1155
-26.7,-26.9,18.8,16.7,2764,1164
